                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6728,                 2.9998,                 1.7203,                0.00433,                0.31707,                0.04151,                0.01726,                 2.0344,                 3.4535,                 1.9557,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.5039,                 2.8214,                  1.591,                 0.0045,                0.32927,                 0.0559,                0.02477,                 2.1172,                 3.4247,                 1.8984,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.5074,                 2.4818,                 1.6006,                0.00517,                0.37805,                0.03985,                0.01506,                 2.6244,                 3.5264,                 2.1585,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.6176,                  2.345,                 1.5554,                0.00633,                0.46341,                0.03653,                0.01383,                 2.6272,                 3.5487,                  2.309,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.5456,                 2.1446,                 1.5908,                 0.0065,                0.47561,                0.07449,                0.03163,                 2.4218,                 3.3381,                 2.3622,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.5814,                 2.2223,                  1.547,                0.00633,                0.46341,                0.11994,                0.04992,                 2.3377,                  3.229,                 2.4021,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.5848,                 2.0164,                 1.5183,                0.16293,                0.19512,                0.09297,                0.02694,                 2.5169,                 3.2991,                 2.6885,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.5402,                 1.9513,                 1.4672,                0.31719,                0.03988,                0.06967,                 0.0192,                 2.6721,                  3.484,                 2.6942,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4024,                 1.8935,                 1.4524,                0.27314,                0.09756,                0.08972,                0.03171,                 2.6716,                  3.384,                 2.8938,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.6405,                 1.9685,                 1.6221,                0.26937,                0.07317,                0.06582,                  0.025,                 2.4741,                  3.356,                 2.7249,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.5261,                 1.9501,                 1.5344,                0.25478,                0.12195,                0.06022,                0.01861,                 2.3384,                  3.286,                 2.5658,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.5464,                 1.8041,                 1.4807,                0.15892,                0.14634,                0.04352,                0.01224,                 2.4021,                 3.4131,                 2.5257,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.6394,                 1.8694,                 1.5045,                0.16184,                0.12195,                0.04408,                0.01509,                 2.3762,                 3.4687,                 2.5247,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.5135,                 1.9102,                  1.553,                0.09941,                0.09756,                0.03368,                0.01101,                 2.6925,                 3.5693,                 3.0885,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.6304,                 1.8242,                 1.4734,                0.10594,                0.14634,                0.04447,                0.02066,                   2.61,                 3.6742,                 3.1862,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.5779,                 1.7335,                 1.5308,                0.16767,                0.14634,                0.07689,                0.03172,                 2.4324,                  3.448,                 3.0045,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.6045,                 1.7626,                 1.5341,                0.19031,                0.12195,                0.08804,                0.03619,                 2.3567,                 3.1921,                 3.3553,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.5723,                 1.8111,                 1.5657,                0.26554,                 0.1808,                0.09294,                0.03141,                 2.2887,                 3.1336,                 2.9791,              0.0014804,              0.0014804,              0.0014804
