                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2362,                 4.4534,                 1.9208,                0.00791,                0.28049,                0.07116,                0.03365,                 2.1077,                 3.8496,                 1.9998,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.9744,                 3.8719,                  1.724,                0.00875,                0.26829,                 0.0848,                0.03786,                 2.0715,                 3.8022,                 1.9239,             0.00013518,             0.00013518,             0.00013518
                      3,                 1.6949,                 3.2986,                 1.6255,                0.01016,                0.31707,                0.07356,                0.02929,                 2.2092,                 3.7748,                 2.0511,             0.00018717,             0.00018717,             0.00018717
                      4,                 1.6437,                 2.9626,                 1.6296,                0.00984,                0.31707,                0.05282,                0.02287,                 2.1917,                 3.8295,                 2.0588,             0.00022266,             0.00022266,             0.00022266
                      5,                 1.6029,                 2.7523,                  1.536,                0.00856,                0.28049,                0.04253,                0.01804,                  2.181,                 3.7161,                  2.125,             0.00024165,             0.00024165,             0.00024165
                      6,                 1.6385,                 2.7459,                 1.5832,                0.00891,                0.29268,                 0.0435,                0.01794,                 2.2245,                 3.7128,                  2.118,             0.00024413,             0.00024413,             0.00024413
                      7,                 1.6041,                 2.5211,                 1.4908,                0.00809,                0.28049,                0.06672,                0.02522,                 2.1732,                 3.6451,                 2.0887,             0.00023011,             0.00023011,             0.00023011
                      8,                 1.5893,                 2.4018,                 1.4907,                0.00921,                0.31707,                0.08604,                 0.0431,                 2.1911,                 3.6398,                 2.0714,             0.00019959,             0.00019959,             0.00019959
                      9,                 1.5405,                 2.3845,                 1.4088,                0.00907,                0.30488,                0.09935,                0.05419,                 2.1632,                 3.5638,                  2.089,             0.00015256,             0.00015256,             0.00015256
                     10,                 1.5166,                 2.3246,                 1.4022,                0.00926,                0.30488,                 0.1101,                0.05736,                 2.1818,                 3.5152,                 2.0958,             8.9034e-05,             8.9034e-05,             8.9034e-05
